Original_Work,Influence_Type,New_Artist,New_Song,Target_Artist,Weight
Harmony in the Alleyway,LyricalReferenceTo,Anatol Dietz,"Clean Lungs, Clear Mind",Megan Bennett,1
Harmony in the Alleyway,LyricalReferenceTo,Tracy Simpson,"Clean Lungs, Clear Mind",Megan Bennett,1
Harmony in the Alleyway,LyricalReferenceTo,Lorraine Martinez,"Clean Lungs, Clear Mind",Megan Bennett,1
Harmony in the Alleyway,LyricalReferenceTo,Megan Bennett,"Clean Lungs, Clear Mind",Megan Bennett,1
The Last Frame of Pola,LyricalReferenceTo,Anatol Dietz,"Clean Lungs, Clear Mind",Megan Bennett,1
The Last Frame of Pola,LyricalReferenceTo,Tracy Simpson,"Clean Lungs, Clear Mind",Megan Bennett,1
The Last Frame of Pola,LyricalReferenceTo,Lorraine Martinez,"Clean Lungs, Clear Mind",Megan Bennett,1
The Last Frame of Pola,LyricalReferenceTo,Megan Bennett,"Clean Lungs, Clear Mind",Megan Bennett,1
Mirrors of Deception,InterpolatesFrom,Lorraine Martinez,Grandfather's Faded Photographs,Megan Bennett,1
Mirrors of Deception,InterpolatesFrom,Xia Fu,Grandfather's Faded Photographs,Megan Bennett,1
Mirrors of Deception,InterpolatesFrom,Li Luo,Grandfather's Faded Photographs,Megan Bennett,1
Mirrors of Deception,InterpolatesFrom,Gang Zhao,Grandfather's Faded Photographs,Megan Bennett,1
Civic Pride: A Municipal Melody,InterpolatesFrom,Lorraine Martinez,Grandfather's Faded Photographs,Megan Bennett,1
Civic Pride: A Municipal Melody,InterpolatesFrom,Xia Fu,Grandfather's Faded Photographs,Megan Bennett,1
Civic Pride: A Municipal Melody,InterpolatesFrom,Li Luo,Grandfather's Faded Photographs,Megan Bennett,1
Civic Pride: A Municipal Melody,InterpolatesFrom,Gang Zhao,Grandfather's Faded Photographs,Megan Bennett,1
Unraveled (A Cassidy Story),InStyleOf,Martino Toninelli,The Chambered Melody,Megan Bennett,1
Unraveled (A Cassidy Story),InStyleOf,Ludovico Mondadori,The Chambered Melody,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,Fang Xue,Lift Me Higher,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,Ping Tian,Lift Me Higher,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,Tao Sun,Lift Me Higher,Megan Bennett,1
Forgiveness Falls,LyricalReferenceTo,Fang Xue,Lift Me Higher,Megan Bennett,1
Forgiveness Falls,LyricalReferenceTo,Ping Tian,Lift Me Higher,Megan Bennett,1
Forgiveness Falls,LyricalReferenceTo,Tao Sun,Lift Me Higher,Megan Bennett,1
Wilderness Vows at Twilight,DirectlySamples,Angelika Osojca,Echoes Out of Time,Megan Bennett,1
Wilderness Vows at Twilight,DirectlySamples,Ping Tian,Echoes Out of Time,Megan Bennett,1
Wilderness Vows at Twilight,DirectlySamples,Li Fang,Echoes Out of Time,Megan Bennett,1
Wilderness Vows at Twilight,DirectlySamples,Min Shen,Echoes Out of Time,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,Apolonia Chlebda,Brass and Brass: A Polka Memoir,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,Kamila Ornat,Brass and Brass: A Polka Memoir,Megan Bennett,1
Mirrors of Deception,InStyleOf,Megan Bennett,Civic Pride: A Municipal Melody,Megan Bennett,1
Mirrors of Deception,InStyleOf,Brian Wright,Civic Pride: A Municipal Melody,Megan Bennett,1
The Last Frame of Pola,InStyleOf,Megan Bennett,Harmony in the Alleyway,Megan Bennett,1
The Last Frame of Pola,InStyleOf,Brian Wright,Harmony in the Alleyway,Megan Bennett,1
Mirrors of Deception,InStyleOf,Jeremy Li,Sweet Metabolism,Megan Bennett,1
Mirrors of Deception,InStyleOf,Jamie Ramos,Sweet Metabolism,Megan Bennett,1
Mirrors of Deception,InStyleOf,Ricky Silva,Sweet Metabolism,Megan Bennett,1
Mirrors of Deception,InStyleOf,Sonic Pulse,Sweet Metabolism,Megan Bennett,1
Fever Pitch Madness,CoverOf,Jeremy Li,Sweet Metabolism,Megan Bennett,1
Fever Pitch Madness,CoverOf,Jamie Ramos,Sweet Metabolism,Megan Bennett,1
Fever Pitch Madness,CoverOf,Ricky Silva,Sweet Metabolism,Megan Bennett,1
Fever Pitch Madness,CoverOf,Sonic Pulse,Sweet Metabolism,Megan Bennett,1
Civic Pride: A Municipal Melody,InterpolatesFrom,Jeremy Li,Sweet Metabolism,Megan Bennett,1
Civic Pride: A Municipal Melody,InterpolatesFrom,Jamie Ramos,Sweet Metabolism,Megan Bennett,1
Civic Pride: A Municipal Melody,InterpolatesFrom,Ricky Silva,Sweet Metabolism,Megan Bennett,1
Civic Pride: A Municipal Melody,InterpolatesFrom,Sonic Pulse,Sweet Metabolism,Megan Bennett,1
Wilderness Vows at Twilight,CoverOf,Jay Walters,Permanent Horizon,Megan Bennett,1
The Last Frame of Pola,InStyleOf,Brian Wright,Braided Stories,Megan Bennett,1
Harmony in the Alleyway,LyricalReferenceTo,Brian Wright,Braided Stories,Megan Bennett,1
Wilderness Vows at Twilight,LyricalReferenceTo,Quattro Voci,Corações em Chamas (Hearts on Fire),Megan Bennett,1
Candlelight Confessions,InStyleOf,Quattro Voci,Corações em Chamas (Hearts on Fire),Megan Bennett,1
Candlelight Confessions,InterpolatesFrom,Andrew Williams,The Pound of Flesh Sonata,Megan Bennett,1
Candlelight Confessions,InterpolatesFrom,Jay Walters,The Pound of Flesh Sonata,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,Andrew Williams,The Pound of Flesh Sonata,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,Jay Walters,The Pound of Flesh Sonata,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,Fang Xue,Branded Dreams,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,Ping Tian,Branded Dreams,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,Tao Sun,Branded Dreams,Megan Bennett,1
Forgiveness Falls,InterpolatesFrom,Fang Xue,Branded Dreams,Megan Bennett,1
Forgiveness Falls,InterpolatesFrom,Ping Tian,Branded Dreams,Megan Bennett,1
Forgiveness Falls,InterpolatesFrom,Tao Sun,Branded Dreams,Megan Bennett,1
Wilderness Vows at Twilight,InterpolatesFrom,Andrew Williams,Reindeer Breath Melody,Megan Bennett,1
Wilderness Vows at Twilight,InterpolatesFrom,Quattro Voci,Reindeer Breath Melody,Megan Bennett,1
Candlelight Confessions,LyricalReferenceTo,Andrew Williams,Reindeer Breath Melody,Megan Bennett,1
Candlelight Confessions,LyricalReferenceTo,Quattro Voci,Reindeer Breath Melody,Megan Bennett,1
Wilderness Vows at Twilight,LyricalReferenceTo,Jay Walters,Whispers of Sacred Silence,Megan Bennett,1
Candlelight Confessions,InterpolatesFrom,Jay Walters,Whispers of Sacred Silence,Megan Bennett,1
Wilderness Vows at Twilight,LyricalReferenceTo,Megan Bennett,Candlelight Confessions,Megan Bennett,1
Wilderness Vows at Twilight,LyricalReferenceTo,Andrew Williams,Candlelight Confessions,Megan Bennett,1
Wilderness Vows at Twilight,LyricalReferenceTo,Brian Wright,Candlelight Confessions,Megan Bennett,1
Wilderness Vows at Twilight,LyricalReferenceTo,Quattro Voci,Candlelight Confessions,Megan Bennett,1
Gleaming Hope's Horizon,InterpolatesFrom,Megan Bennett,Blooming Duality,Megan Bennett,1
Gleaming Hope's Horizon,InterpolatesFrom,Norbert Flisek,Blooming Duality,Megan Bennett,1
Gleaming Hope's Horizon,InterpolatesFrom,Monika Przewłoka,Blooming Duality,Megan Bennett,1
Wilderness Vows at Twilight,CoverOf,Ismet Heser,Unfinished Conversations,Megan Bennett,1
The Last Frame of Pola,CoverOf,Lorraine Martinez,Whispered Waltzes in Minor,Megan Bennett,1
The Last Frame of Pola,CoverOf,Gang Zhao,Whispered Waltzes in Minor,Megan Bennett,1
The Last Frame of Pola,CoverOf,Guiying Lei,Whispered Waltzes in Minor,Megan Bennett,1
Mirrors of Deception,CoverOf,Lorraine Martinez,Whispered Waltzes in Minor,Megan Bennett,1
Mirrors of Deception,CoverOf,Gang Zhao,Whispered Waltzes in Minor,Megan Bennett,1
Mirrors of Deception,CoverOf,Guiying Lei,Whispered Waltzes in Minor,Megan Bennett,1
Civic Pride: A Municipal Melody,CoverOf,Lorraine Martinez,Whispered Waltzes in Minor,Megan Bennett,1
Civic Pride: A Municipal Melody,CoverOf,Gang Zhao,Whispered Waltzes in Minor,Megan Bennett,1
Civic Pride: A Municipal Melody,CoverOf,Guiying Lei,Whispered Waltzes in Minor,Megan Bennett,1
Candlelight Confessions,InStyleOf,Quattro Voci,Paths Beyond Memory,Megan Bennett,1
Wilderness Vows at Twilight,LyricalReferenceTo,Quattro Voci,Paths Beyond Memory,Megan Bennett,1
"Clean Lungs, Clear Mind",InterpolatesFrom,Megan Bennett,Unbroken Promise,Megan Bennett,1
"Clean Lungs, Clear Mind",InterpolatesFrom,Dawn Massey,Unbroken Promise,Megan Bennett,1
"Clean Lungs, Clear Mind",InterpolatesFrom,Rachel Garcia,Unbroken Promise,Megan Bennett,1
"Clean Lungs, Clear Mind",InterpolatesFrom,Ralph Bell,Unbroken Promise,Megan Bennett,1
Harmony in the Alleyway,DirectlySamples,Megan Bennett,Unbroken Promise,Megan Bennett,1
Harmony in the Alleyway,DirectlySamples,Dawn Massey,Unbroken Promise,Megan Bennett,1
Harmony in the Alleyway,DirectlySamples,Rachel Garcia,Unbroken Promise,Megan Bennett,1
Harmony in the Alleyway,DirectlySamples,Ralph Bell,Unbroken Promise,Megan Bennett,1
The Last Frame of Pola,InterpolatesFrom,Megan Bennett,Unbroken Promise,Megan Bennett,1
The Last Frame of Pola,InterpolatesFrom,Dawn Massey,Unbroken Promise,Megan Bennett,1
The Last Frame of Pola,InterpolatesFrom,Rachel Garcia,Unbroken Promise,Megan Bennett,1
The Last Frame of Pola,InterpolatesFrom,Ralph Bell,Unbroken Promise,Megan Bennett,1
Mirrors of Deception,LyricalReferenceTo,Ricky Silva,Twenty-Four Hours Unfolding,Megan Bennett,1
Mirrors of Deception,LyricalReferenceTo,Sonic Pulse,Twenty-Four Hours Unfolding,Megan Bennett,1
Civic Pride: A Municipal Melody,CoverOf,Ricky Silva,Twenty-Four Hours Unfolding,Megan Bennett,1
Civic Pride: A Municipal Melody,CoverOf,Sonic Pulse,Twenty-Four Hours Unfolding,Megan Bennett,1
Candlelight Confessions,CoverOf,Brian Wright,Whispers and Touches,Megan Bennett,1
Wilderness Vows at Twilight,InterpolatesFrom,Brian Wright,Whispers and Touches,Megan Bennett,1
Candlelight Confessions,InStyleOf,Andrew Williams,Mannequin's Whisper,Megan Bennett,1
Candlelight Confessions,InStyleOf,Jay Walters,Mannequin's Whisper,Megan Bennett,1
Candlelight Confessions,InStyleOf,Quattro Voci,Mannequin's Whisper,Megan Bennett,1
Wilderness Vows at Twilight,InterpolatesFrom,Andrew Williams,Mannequin's Whisper,Megan Bennett,1
Wilderness Vows at Twilight,InterpolatesFrom,Jay Walters,Mannequin's Whisper,Megan Bennett,1
Wilderness Vows at Twilight,InterpolatesFrom,Quattro Voci,Mannequin's Whisper,Megan Bennett,1
Mirrors of Deception,InStyleOf,Lorraine Martinez,Temples and Shadows,Megan Bennett,1
Mirrors of Deception,InStyleOf,Xia Fu,Temples and Shadows,Megan Bennett,1
Mirrors of Deception,InStyleOf,Li Luo,Temples and Shadows,Megan Bennett,1
Mirrors of Deception,InStyleOf,Gang Zhao,Temples and Shadows,Megan Bennett,1
Mirrors of Deception,InStyleOf,Triassic Collective,Temples and Shadows,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,Angelika Osojca,Across All Distances,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,Ping Tian,Across All Distances,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,Megan Bennett,Forgiveness Falls,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,Brian Wright,Forgiveness Falls,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,Justin Doyle,Forgiveness Falls,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,Eva Sani,Forgiveness Falls,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,Quattro Voci,Wooden Heart's Whisper,Megan Bennett,1
Forgiveness Falls,CoverOf,Qiang Long,Toppled from Grace,Megan Bennett,1
The Last Frame of Pola,LyricalReferenceTo,Gertrude Dietz-Drub,"Hydraulic Heart, Gerd",Megan Bennett,1
The Last Frame of Pola,LyricalReferenceTo,Krista Fritsch,"Hydraulic Heart, Gerd",Megan Bennett,1
Harmony in the Alleyway,InterpolatesFrom,Gertrude Dietz-Drub,"Hydraulic Heart, Gerd",Megan Bennett,1
Harmony in the Alleyway,InterpolatesFrom,Krista Fritsch,"Hydraulic Heart, Gerd",Megan Bennett,1
Candlelight Confessions,LyricalReferenceTo,Andrew Williams,Aqua Mechanica,Megan Bennett,1
Candlelight Confessions,LyricalReferenceTo,Jay Walters,Aqua Mechanica,Megan Bennett,1
Candlelight Confessions,LyricalReferenceTo,Quattro Voci,Aqua Mechanica,Megan Bennett,1
Wilderness Vows at Twilight,CoverOf,Andrew Williams,Aqua Mechanica,Megan Bennett,1
Wilderness Vows at Twilight,CoverOf,Jay Walters,Aqua Mechanica,Megan Bennett,1
Wilderness Vows at Twilight,CoverOf,Quattro Voci,Aqua Mechanica,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,Angelika Osojca,Hooves and Hopes,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,Ping Tian,Hooves and Hopes,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,Min Fu,Hooves and Hopes,Megan Bennett,1
Wilderness Vows at Twilight,LyricalReferenceTo,Andrew Williams,Whispers of a Poet's Ink,Megan Bennett,1
Wilderness Vows at Twilight,LyricalReferenceTo,Ismet Heser,Whispers of a Poet's Ink,Megan Bennett,1
Wilderness Vows at Twilight,LyricalReferenceTo,Quattro Voci,Whispers of a Poet's Ink,Megan Bennett,1
Forgiveness Falls,InterpolatesFrom,James George,Whispers of Potential,Megan Bennett,1
Wilderness Vows at Twilight,InStyleOf,James George,Whispers of Potential,Megan Bennett,1
Fever Pitch Madness,InterpolatesFrom,Jamie Ramos,Moonlit Metamorphosis,Megan Bennett,1
Fever Pitch Madness,InterpolatesFrom,Sonic Pulse,Moonlit Metamorphosis,Megan Bennett,1
Wilderness Vows at Twilight,InterpolatesFrom,Ismet Heser,Crossroads at Dusk,Megan Bennett,1
Candlelight Confessions,DirectlySamples,Quattro Voci,Broken Again,Megan Bennett,1
Wilderness Vows at Twilight,LyricalReferenceTo,Quattro Voci,Broken Again,Megan Bennett,1
Civic Pride: A Municipal Melody,CoverOf,Megan Bennett,Stone and Water: A London Passage,Megan Bennett,1
Mirrors of Deception,InStyleOf,Megan Bennett,Stone and Water: A London Passage,Megan Bennett,1
Civic Pride: A Municipal Melody,DirectlySamples,Li Luo,Regal Advance,Megan Bennett,1
Civic Pride: A Municipal Melody,DirectlySamples,Gang Zhao,Regal Advance,Megan Bennett,1
The Last Frame of Pola,InStyleOf,Li Luo,Regal Advance,Megan Bennett,1
The Last Frame of Pola,InStyleOf,Gang Zhao,Regal Advance,Megan Bennett,1
Wilderness Vows at Twilight,CoverOf,Quattro Voci,Iron Hooves and Leather Reins,Megan Bennett,1
Rodeo Retrograde,InStyleOf,Kornel Troka,Ceramic Memories,Urszula Stochmal,1
Rodeo Retrograde,InStyleOf,Liwia Olbrych,Ceramic Memories,Urszula Stochmal,1
Rodeo Retrograde,InStyleOf,Nicole Sudak,Ceramic Memories,Urszula Stochmal,1
When the Music Fades,InStyleOf,Marek Oleksa,Street Corner Hustle,Urszula Stochmal,1
When the Music Fades,InStyleOf,Arkadiusz Ciesielka,Street Corner Hustle,Urszula Stochmal,1
Canvas of Renaissance Dreams,LyricalReferenceTo,Marek Oleksa,Street Corner Hustle,Urszula Stochmal,1
Canvas of Renaissance Dreams,LyricalReferenceTo,Arkadiusz Ciesielka,Street Corner Hustle,Urszula Stochmal,1
Addicted to Your Heartache,CoverOf,Marek Oleksa,Unpack My Heart,Urszula Stochmal,1
Rodeo Retrograde,InStyleOf,Marek Oleksa,Unpack My Heart,Urszula Stochmal,1
When the Music Fades,InStyleOf,Marek Oleksa,Unpack My Heart,Urszula Stochmal,1
Pulse Zero,InStyleOf,Marek Oleksa,Unpack My Heart,Urszula Stochmal,1
Forced Feast,InStyleOf,Marek Oleksa,Unpack My Heart,Urszula Stochmal,1
Heavy Eyelids of Twilight,InStyleOf,Marek Oleksa,Unpack My Heart,Urszula Stochmal,1
Canvas of Renaissance Dreams,CoverOf,Urszula Stochmal,Heavy Eyelids of Twilight,Urszula Stochmal,1
Pulse Zero,InterpolatesFrom,Urszula Stochmal,Heavy Eyelids of Twilight,Urszula Stochmal,1
Dancing to Her Rhythm,InterpolatesFrom,Urszula Stochmal,Heavy Eyelids of Twilight,Urszula Stochmal,1
Forced Feast,InStyleOf,Urszula Stochmal,Heavy Eyelids of Twilight,Urszula Stochmal,1
Canvas of Renaissance Dreams,InterpolatesFrom,Konrad Goss,Transparent Intentions,Urszula Stochmal,1
Canvas of Renaissance Dreams,InterpolatesFrom,Nomadic Resonance,Transparent Intentions,Urszula Stochmal,1
When the Music Fades,InterpolatesFrom,Konrad Goss,Transparent Intentions,Urszula Stochmal,1
When the Music Fades,InterpolatesFrom,Nomadic Resonance,Transparent Intentions,Urszula Stochmal,1
Pulse Zero,InStyleOf,Konrad Goss,Transparent Intentions,Urszula Stochmal,1
Pulse Zero,InStyleOf,Nomadic Resonance,Transparent Intentions,Urszula Stochmal,1
Forced Feast,LyricalReferenceTo,Konrad Goss,Transparent Intentions,Urszula Stochmal,1
Forced Feast,LyricalReferenceTo,Nomadic Resonance,Transparent Intentions,Urszula Stochmal,1
The Interest Rises,InStyleOf,Aleksander Przybyś,Wandering Miles,Urszula Stochmal,1
Midnight in the Tearscape,LyricalReferenceTo,Aleksander Przybyś,Wandering Miles,Urszula Stochmal,1
Sacred Invocation,InterpolatesFrom,Aleksander Przybyś,Wandering Miles,Urszula Stochmal,1
Whispers of the Wooden Wind,DirectlySamples,Urszula Stochmal,Canvas of Renaissance Dreams,Urszula Stochmal,1
When the Music Fades,LyricalReferenceTo,Urszula Stochmal,Canvas of Renaissance Dreams,Urszula Stochmal,1
Wet Shadows,InterpolatesFrom,Urszula Stochmal,Canvas of Renaissance Dreams,Urszula Stochmal,1
Heavy Eyelids of Twilight,LyricalReferenceTo,Cezary Siedlarz,Chapters Untold,Urszula Stochmal,1
Forced Feast,CoverOf,Cezary Siedlarz,Chapters Untold,Urszula Stochmal,1
Whispers of the Wooden Wind,CoverOf,Cezary Siedlarz,Chapters Untold,Urszula Stochmal,1
Wet Shadows,InterpolatesFrom,Cezary Siedlarz,Chapters Untold,Urszula Stochmal,1
Rodeo Retrograde,InterpolatesFrom,Cezary Siedlarz,Chapters Untold,Urszula Stochmal,1
Addicted to Your Heartache,InStyleOf,Cezary Siedlarz,Chapters Untold,Urszula Stochmal,1
Whispers of the Wooden Wind,CoverOf,Urszula Stochmal,Pulse Zero,Urszula Stochmal,1
Whispers of the Wooden Wind,CoverOf,Konrad Goss,Pulse Zero,Urszula Stochmal,1
Whispers of the Wooden Wind,CoverOf,Kornel Preś,Pulse Zero,Urszula Stochmal,1
Sacred Invocation,InStyleOf,Urszula Stochmal,The Interest Rises,Urszula Stochmal,1
Sacred Invocation,InStyleOf,Aleksander Przybyś,Bund Boogie,Urszula Stochmal,1
The Interest Rises,InStyleOf,Aleksander Przybyś,Bund Boogie,Urszula Stochmal,1
Sacred Invocation,DirectlySamples,Marcel Kutek,Sunset of Perfection,Urszula Stochmal,1
Sacred Invocation,InStyleOf,Martino Toninelli,Kerosene Memories,Urszula Stochmal,1
Sacred Invocation,InStyleOf,Ludovico Mondadori,Kerosene Memories,Urszula Stochmal,1
Sacred Invocation,InStyleOf,Maura Jovinelli,Kerosene Memories,Urszula Stochmal,1
Sacred Invocation,InStyleOf,Neon Pulse,Kerosene Memories,Urszula Stochmal,1
Midnight in the Tearscape,InStyleOf,Martino Toninelli,Kerosene Memories,Urszula Stochmal,1
Midnight in the Tearscape,InStyleOf,Ludovico Mondadori,Kerosene Memories,Urszula Stochmal,1
Midnight in the Tearscape,InStyleOf,Maura Jovinelli,Kerosene Memories,Urszula Stochmal,1
Midnight in the Tearscape,InStyleOf,Neon Pulse,Kerosene Memories,Urszula Stochmal,1
Heavy Eyelids of Twilight,DirectlySamples,Urszula Stochmal,Sunlight and Vows,Urszula Stochmal,1
When the Music Fades,InStyleOf,Urszula Stochmal,Sunlight and Vows,Urszula Stochmal,1
Forced Feast,CoverOf,Urszula Stochmal,Sunlight and Vows,Urszula Stochmal,1
Addicted to Your Heartache,CoverOf,Urszula Stochmal,Sunlight and Vows,Urszula Stochmal,1
Pulse Zero,InStyleOf,Urszula Stochmal,Sunlight and Vows,Urszula Stochmal,1
Blueprints of Hope,InStyleOf,Tadeusz Kieszek,Seaside Promise,Urszula Stochmal,1
Forced Feast,InStyleOf,Tadeusz Kieszek,Seaside Promise,Urszula Stochmal,1
Rodeo Retrograde,CoverOf,Tadeusz Kieszek,Seaside Promise,Urszula Stochmal,1
Addicted to Your Heartache,LyricalReferenceTo,Tadeusz Kieszek,Seaside Promise,Urszula Stochmal,1
Pulse Zero,InStyleOf,Tadeusz Kieszek,Seaside Promise,Urszula Stochmal,1
Sacred Invocation,CoverOf,Urszula Stochmal,Midnight in the Tearscape,Urszula Stochmal,1
Sacred Invocation,InStyleOf,Igor Dyś,Echoes of Forgotten Light,Urszula Stochmal,1
Sacred Invocation,DirectlySamples,Szymon Pyć,Stone Breath,Urszula Stochmal,1
Blueprints of Hope,InStyleOf,Cyprian Goss,Whispers of Your Memory,Urszula Stochmal,1
Addicted to Your Heartache,CoverOf,Cyprian Goss,Whispers of Your Memory,Urszula Stochmal,1
Pulse Zero,LyricalReferenceTo,Cyprian Goss,Whispers of Your Memory,Urszula Stochmal,1
Sunlight and Vows,InStyleOf,Cyprian Goss,Whispers of Your Memory,Urszula Stochmal,1
Forced Feast,InterpolatesFrom,Cyprian Goss,Whispers of Your Memory,Urszula Stochmal,1
Rodeo Retrograde,InterpolatesFrom,Cyprian Goss,Whispers of Your Memory,Urszula Stochmal,1
Heavy Eyelids of Twilight,LyricalReferenceTo,Cyprian Goss,Whispers of Your Memory,Urszula Stochmal,1
Forced Feast,CoverOf,Urszula Stochmal,Rodeo Retrograde,Urszula Stochmal,1
Forced Feast,CoverOf,Konrad Goss,Rodeo Retrograde,Urszula Stochmal,1
Forced Feast,CoverOf,Kornel Preś,Rodeo Retrograde,Urszula Stochmal,1
Whispers of the Wooden Wind,InStyleOf,Urszula Stochmal,Forced Feast,Urszula Stochmal,1
Whispers of the Wooden Wind,InStyleOf,Konrad Goss,Forced Feast,Urszula Stochmal,1
Whispers of the Wooden Wind,InStyleOf,Urszula Stochmal,When the Music Fades,Urszula Stochmal,1
Whispers of the Wooden Wind,InStyleOf,Karol Klęczar,When the Music Fades,Urszula Stochmal,1
Whispers of the Wooden Wind,InStyleOf,Tadeusz Majorek,When the Music Fades,Urszula Stochmal,1
Whispers of the Wooden Wind,InStyleOf,Jacek Gorol,When the Music Fades,Urszula Stochmal,1
Whispers of the Wooden Wind,InStyleOf,Urszula Stochmal,Wet Shadows,Urszula Stochmal,1
Whispers of the Wooden Wind,LyricalReferenceTo,Urszula Stochmal,Blueprints of Hope,Urszula Stochmal,1
Whispers of the Wooden Wind,LyricalReferenceTo,Leon Misiurek,Blueprints of Hope,Urszula Stochmal,1
Whispers of the Wooden Wind,LyricalReferenceTo,Gustaw Reich,Blueprints of Hope,Urszula Stochmal,1
Whispers of the Wooden Wind,CoverOf,Urszula Stochmal,Dancing to Her Rhythm,Urszula Stochmal,1
Pulse Zero,LyricalReferenceTo,Marek Oleksa,Echoes of a Universal Tongue,Urszula Stochmal,1
Canvas of Renaissance Dreams,CoverOf,Marek Oleksa,Echoes of a Universal Tongue,Urszula Stochmal,1
Whispers of the Wooden Wind,InterpolatesFrom,Marek Oleksa,Echoes of a Universal Tongue,Urszula Stochmal,1
Forced Feast,LyricalReferenceTo,Marek Oleksa,Echoes of a Universal Tongue,Urszula Stochmal,1
Addicted to Your Heartache,InStyleOf,Marek Oleksa,Echoes of a Universal Tongue,Urszula Stochmal,1
When the Music Fades,LyricalReferenceTo,Marek Oleksa,Echoes of a Universal Tongue,Urszula Stochmal,1
Heavy Eyelids of Twilight,LyricalReferenceTo,Marek Oleksa,Echoes of a Universal Tongue,Urszula Stochmal,1
Blueprints of Hope,InterpolatesFrom,Carolyn Donovan,Hallowed Whispers,Urszula Stochmal,1
Blueprints of Hope,InterpolatesFrom,Charles Wallace,Hallowed Whispers,Urszula Stochmal,1
When the Music Fades,CoverOf,Urszula Stochmal,Addicted to Your Heartache,Urszula Stochmal,1
Forced Feast,CoverOf,Urszula Stochmal,Addicted to Your Heartache,Urszula Stochmal,1
