Kimberlys_Original_Work,Influence_Type,New_Artist,New_Song,Weight
Timelines Converge,InStyleOf,Kimberly Snyder,Guardian of the Mountain Winds,1
Timelines Converge,InStyleOf,Michael Washington,Guardian of the Mountain Winds,1
Timelines Converge,InStyleOf,Joshua Herring,Guardian of the Mountain Winds,1
Timelines Converge,InStyleOf,Andrew Montgomery,Guardian of the Mountain Winds,1
Timelines Converge,InStyleOf,Casey Wright,Guardian of the Mountain Winds,1
Timelines Converge,InStyleOf,Sonic Renegade,Guardian of the Mountain Winds,1
Sovereign's Whisper,InterpolatesFrom,Kimberly Snyder,Guardian of the Mountain Winds,1
Sovereign's Whisper,InterpolatesFrom,Michael Washington,Guardian of the Mountain Winds,1
Sovereign's Whisper,InterpolatesFrom,Joshua Herring,Guardian of the Mountain Winds,1
Sovereign's Whisper,InterpolatesFrom,Andrew Montgomery,Guardian of the Mountain Winds,1
Sovereign's Whisper,InterpolatesFrom,Casey Wright,Guardian of the Mountain Winds,1
Sovereign's Whisper,InterpolatesFrom,Sonic Renegade,Guardian of the Mountain Winds,1
Immovable Love,LyricalReferenceTo,Kimberly Snyder,Guardian of the Mountain Winds,1
Immovable Love,LyricalReferenceTo,Michael Washington,Guardian of the Mountain Winds,1
Immovable Love,LyricalReferenceTo,Joshua Herring,Guardian of the Mountain Winds,1
Immovable Love,LyricalReferenceTo,Andrew Montgomery,Guardian of the Mountain Winds,1
Immovable Love,LyricalReferenceTo,Casey Wright,Guardian of the Mountain Winds,1
Immovable Love,LyricalReferenceTo,Sonic Renegade,Guardian of the Mountain Winds,1
Fragments of a Simple Girl,InStyleOf,Kimberly Snyder,Guardian of the Mountain Winds,1
Fragments of a Simple Girl,InStyleOf,Michael Washington,Guardian of the Mountain Winds,1
Fragments of a Simple Girl,InStyleOf,Joshua Herring,Guardian of the Mountain Winds,1
Fragments of a Simple Girl,InStyleOf,Andrew Montgomery,Guardian of the Mountain Winds,1
Fragments of a Simple Girl,InStyleOf,Casey Wright,Guardian of the Mountain Winds,1
Fragments of a Simple Girl,InStyleOf,Sonic Renegade,Guardian of the Mountain Winds,1
Shadows Between Us,InStyleOf,Kimberly Snyder,Guardian of the Mountain Winds,1
Shadows Between Us,InStyleOf,Michael Washington,Guardian of the Mountain Winds,1
Shadows Between Us,InStyleOf,Joshua Herring,Guardian of the Mountain Winds,1
Shadows Between Us,InStyleOf,Andrew Montgomery,Guardian of the Mountain Winds,1
Shadows Between Us,InStyleOf,Casey Wright,Guardian of the Mountain Winds,1
Shadows Between Us,InStyleOf,Sonic Renegade,Guardian of the Mountain Winds,1
Soft Love's First Light,CoverOf,Paula Wilson,Slumber's Burden,1
Soft Love's First Light,CoverOf,Brittany Wright,Slumber's Burden,1
Soft Love's First Light,CoverOf,Judith Hunter,Slumber's Burden,1
Soft Love's First Light,CoverOf,Rachel Wilson,Slumber's Burden,1
Soft Love's First Light,CoverOf,Phantom Resonance,Slumber's Burden,1
Fair Exchange,InterpolatesFrom,Joshua Herring,Fragments of Joy,1
Fair Exchange,InterpolatesFrom,Benjamin Lee,Fragments of Joy,1
Fair Exchange,InterpolatesFrom,Taylor Reed,Fragments of Joy,1
Fair Exchange,InterpolatesFrom,Kelly Stewart,Fragments of Joy,1
Fair Exchange,InterpolatesFrom,Tina Hobbs,Fragments of Joy,1
Fair Exchange,InterpolatesFrom,Sonic Renegade,Fragments of Joy,1
Timelines Converge,CoverOf,Joshua Herring,Fragments of Joy,1
Timelines Converge,CoverOf,Benjamin Lee,Fragments of Joy,1
Timelines Converge,CoverOf,Taylor Reed,Fragments of Joy,1
Timelines Converge,CoverOf,Kelly Stewart,Fragments of Joy,1
Timelines Converge,CoverOf,Tina Hobbs,Fragments of Joy,1
Timelines Converge,CoverOf,Sonic Renegade,Fragments of Joy,1
Echoes of a Global Generation,InterpolatesFrom,Joshua Herring,Fragments of Joy,1
Echoes of a Global Generation,InterpolatesFrom,Benjamin Lee,Fragments of Joy,1
Echoes of a Global Generation,InterpolatesFrom,Taylor Reed,Fragments of Joy,1
Echoes of a Global Generation,InterpolatesFrom,Kelly Stewart,Fragments of Joy,1
Echoes of a Global Generation,InterpolatesFrom,Tina Hobbs,Fragments of Joy,1
Echoes of a Global Generation,InterpolatesFrom,Sonic Renegade,Fragments of Joy,1
Ethereal Afterthoughts,InStyleOf,Joshua Herring,Fragments of Joy,1
Ethereal Afterthoughts,InStyleOf,Benjamin Lee,Fragments of Joy,1
Ethereal Afterthoughts,InStyleOf,Taylor Reed,Fragments of Joy,1
Ethereal Afterthoughts,InStyleOf,Kelly Stewart,Fragments of Joy,1
Ethereal Afterthoughts,InStyleOf,Tina Hobbs,Fragments of Joy,1
Ethereal Afterthoughts,InStyleOf,Sonic Renegade,Fragments of Joy,1
Tanah Kita Bangkit,DirectlySamples,Joshua Herring,Fragments of Joy,1
Tanah Kita Bangkit,DirectlySamples,Benjamin Lee,Fragments of Joy,1
Tanah Kita Bangkit,DirectlySamples,Taylor Reed,Fragments of Joy,1
Tanah Kita Bangkit,DirectlySamples,Kelly Stewart,Fragments of Joy,1
Tanah Kita Bangkit,DirectlySamples,Tina Hobbs,Fragments of Joy,1
Tanah Kita Bangkit,DirectlySamples,Sonic Renegade,Fragments of Joy,1
Carols of the Silent Night,CoverOf,Joshua Herring,Fragments of Joy,1
Carols of the Silent Night,CoverOf,Benjamin Lee,Fragments of Joy,1
Carols of the Silent Night,CoverOf,Taylor Reed,Fragments of Joy,1
Carols of the Silent Night,CoverOf,Kelly Stewart,Fragments of Joy,1
Carols of the Silent Night,CoverOf,Tina Hobbs,Fragments of Joy,1
Carols of the Silent Night,CoverOf,Sonic Renegade,Fragments of Joy,1
Soft Love's First Light,LyricalReferenceTo,Joshua Herring,Fragments of Joy,1
Soft Love's First Light,LyricalReferenceTo,Benjamin Lee,Fragments of Joy,1
Soft Love's First Light,LyricalReferenceTo,Taylor Reed,Fragments of Joy,1
Soft Love's First Light,LyricalReferenceTo,Kelly Stewart,Fragments of Joy,1
Soft Love's First Light,LyricalReferenceTo,Tina Hobbs,Fragments of Joy,1
Soft Love's First Light,LyricalReferenceTo,Sonic Renegade,Fragments of Joy,1
Scarves and Streetlight Shadows,InStyleOf,Xiulan Lin,Granite Heartbeat,1
Scarves and Streetlight Shadows,InStyleOf,Fang Yu,Granite Heartbeat,1
Scarves and Streetlight Shadows,InStyleOf,Yan Jiang,Granite Heartbeat,1
Scarves and Streetlight Shadows,InStyleOf,Min Gu,Granite Heartbeat,1
Tanah Kita Bangkit,InterpolatesFrom,Jun Lin,Rising From the Shadows,1
Tanah Kita Bangkit,InterpolatesFrom,Gang Dong,Rising From the Shadows,1
Timelines Converge,LyricalReferenceTo,Jun Lin,Rising From the Shadows,1
Timelines Converge,LyricalReferenceTo,Gang Dong,Rising From the Shadows,1
Fair Exchange,InterpolatesFrom,Na Fan,Spinning Skirts of Bavaria,1
Fair Exchange,InterpolatesFrom,Guiying Ren,Spinning Skirts of Bavaria,1
Fair Exchange,InterpolatesFrom,Xiuying Yao,Spinning Skirts of Bavaria,1
Fair Exchange,InterpolatesFrom,Wei Yuan,Spinning Skirts of Bavaria,1
Fair Exchange,InterpolatesFrom,Starseed,Spinning Skirts of Bavaria,1
Fair Exchange,InterpolatesFrom,Arco Luminoso,Spinning Skirts of Bavaria,1
Fair Exchange,LyricalReferenceTo,Steven Hobbs,Breaking the Escape Clause,1
Fair Exchange,LyricalReferenceTo,Alex Smith,Breaking the Escape Clause,1
Ethereal Afterthoughts,InterpolatesFrom,Kimberly Snyder,Stones of the Holy City,1
Scarves and Streetlight Shadows,InStyleOf,Kimberly Snyder,Stones of the Holy City,1
Scarves and Streetlight Shadows,CoverOf,Mike Robinson,Pilgrimage of Longing,1
Timelines Converge,InStyleOf,Mike Robinson,Pilgrimage of Longing,1
Tanah Kita Bangkit,LyricalReferenceTo,Mike Robinson,Pilgrimage of Longing,1
Soft Love's First Light,CoverOf,Mike Robinson,Pilgrimage of Longing,1
Maria's Obeskrivna Minnen (Maria's Unwritten Memories),InStyleOf,Min Xie,Reflected Strangers,1
Maria's Obeskrivna Minnen (Maria's Unwritten Memories),InStyleOf,Fang Gu,Reflected Strangers,1
Maria's Obeskrivna Minnen (Maria's Unwritten Memories),InStyleOf,Min Fu,Reflected Strangers,1
Maria's Obeskrivna Minnen (Maria's Unwritten Memories),InStyleOf,Yang Lu,Reflected Strangers,1
Maria's Obeskrivna Minnen (Maria's Unwritten Memories),InStyleOf,Tracy Warren,Reflected Strangers,1
Ethereal Afterthoughts,InterpolatesFrom,Keith Larsen,Requiem for a Fading Self,1
Tanah Kita Bangkit,LyricalReferenceTo,Keith Larsen,Requiem for a Fading Self,1
Scarves and Streetlight Shadows,InterpolatesFrom,Keith Larsen,Requiem for a Fading Self,1
Timelines Converge,InStyleOf,Kimberly Snyder,Tanah Kita Bangkit,1
Timelines Converge,InStyleOf,Joshua Herring,Tanah Kita Bangkit,1
Timelines Converge,InStyleOf,Gerald Mullins,Tanah Kita Bangkit,1
Timelines Converge,InStyleOf,Kelly Stewart,Tanah Kita Bangkit,1
Timelines Converge,InStyleOf,Fang Lin,Tanah Kita Bangkit,1
Timelines Converge,InStyleOf,Mike Robinson,Tanah Kita Bangkit,1
Timelines Converge,InStyleOf,Sheri Brooks,Tanah Kita Bangkit,1
Timelines Converge,InStyleOf,Rachel Jackson,Tanah Kita Bangkit,1
Timelines Converge,InStyleOf,David Stewart,Tanah Kita Bangkit,1
Timelines Converge,InStyleOf,John Anderson,Tanah Kita Bangkit,1
Timelines Converge,InStyleOf,Sonic Renegade,Tanah Kita Bangkit,1
Soft Love's First Light,LyricalReferenceTo,Kimberly Snyder,Radiant Silhouette,1
Soft Love's First Light,LyricalReferenceTo,Joshua Herring,Radiant Silhouette,1
Soft Love's First Light,LyricalReferenceTo,Rachel Jackson,Radiant Silhouette,1
Soft Love's First Light,LyricalReferenceTo,Laura Lindsey,Radiant Silhouette,1
Soft Love's First Light,LyricalReferenceTo,Sarah Young,Radiant Silhouette,1
Soft Love's First Light,LyricalReferenceTo,Nancy Gonzalez,Radiant Silhouette,1
Soft Love's First Light,LyricalReferenceTo,Valerie Phillips,Radiant Silhouette,1
Soft Love's First Light,LyricalReferenceTo,John Gallagher,Radiant Silhouette,1
Soft Love's First Light,LyricalReferenceTo,Denise White,Radiant Silhouette,1
Soft Love's First Light,LyricalReferenceTo,Cody Turner,Radiant Silhouette,1
Soft Love's First Light,LyricalReferenceTo,Sarah Lee,Radiant Silhouette,1
Soft Love's First Light,LyricalReferenceTo,Twilight Riders,Radiant Silhouette,1
Beethoven's Unheard Conversation,InterpolatesFrom,Kimberly Snyder,Radiant Silhouette,1
Beethoven's Unheard Conversation,InterpolatesFrom,Joshua Herring,Radiant Silhouette,1
Beethoven's Unheard Conversation,InterpolatesFrom,Rachel Jackson,Radiant Silhouette,1
Beethoven's Unheard Conversation,InterpolatesFrom,Laura Lindsey,Radiant Silhouette,1
Beethoven's Unheard Conversation,InterpolatesFrom,Sarah Young,Radiant Silhouette,1
Beethoven's Unheard Conversation,InterpolatesFrom,Nancy Gonzalez,Radiant Silhouette,1
Beethoven's Unheard Conversation,InterpolatesFrom,Valerie Phillips,Radiant Silhouette,1
Beethoven's Unheard Conversation,InterpolatesFrom,John Gallagher,Radiant Silhouette,1
Beethoven's Unheard Conversation,InterpolatesFrom,Denise White,Radiant Silhouette,1
Beethoven's Unheard Conversation,InterpolatesFrom,Cody Turner,Radiant Silhouette,1
Beethoven's Unheard Conversation,InterpolatesFrom,Sarah Lee,Radiant Silhouette,1
Beethoven's Unheard Conversation,InterpolatesFrom,Twilight Riders,Radiant Silhouette,1
Carols of the Silent Night,InStyleOf,Kimberly Snyder,Radiant Silhouette,1
Carols of the Silent Night,InStyleOf,Joshua Herring,Radiant Silhouette,1
Carols of the Silent Night,InStyleOf,Rachel Jackson,Radiant Silhouette,1
Carols of the Silent Night,InStyleOf,Laura Lindsey,Radiant Silhouette,1
Carols of the Silent Night,InStyleOf,Sarah Young,Radiant Silhouette,1
Carols of the Silent Night,InStyleOf,Nancy Gonzalez,Radiant Silhouette,1
Carols of the Silent Night,InStyleOf,Valerie Phillips,Radiant Silhouette,1
Carols of the Silent Night,InStyleOf,John Gallagher,Radiant Silhouette,1
Carols of the Silent Night,InStyleOf,Denise White,Radiant Silhouette,1
Carols of the Silent Night,InStyleOf,Cody Turner,Radiant Silhouette,1
Carols of the Silent Night,InStyleOf,Sarah Lee,Radiant Silhouette,1
Carols of the Silent Night,InStyleOf,Twilight Riders,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Kimberly Snyder,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Joshua Herring,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Rachel Jackson,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Laura Lindsey,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Sarah Young,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Nancy Gonzalez,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Valerie Phillips,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,John Gallagher,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Denise White,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Cody Turner,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Sarah Lee,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Twilight Riders,Radiant Silhouette,1
Fair Exchange,LyricalReferenceTo,Kimberly Snyder,Immovable Love,1
Fair Exchange,LyricalReferenceTo,Gerald Mullins,Immovable Love,1
Fair Exchange,LyricalReferenceTo,Andrew Montgomery,Immovable Love,1
Fair Exchange,LyricalReferenceTo,Kelly Stewart,Immovable Love,1
Fair Exchange,LyricalReferenceTo,Erica Walton,Immovable Love,1
Fair Exchange,LyricalReferenceTo,Matthew Yoder,Immovable Love,1
Fair Exchange,LyricalReferenceTo,Sonic Renegade,Immovable Love,1
Fair Exchange,LyricalReferenceTo,Liquid Prism,Immovable Love,1
Timelines Converge,InStyleOf,Kimberly Snyder,Immovable Love,1
Timelines Converge,InStyleOf,Gerald Mullins,Immovable Love,1
Timelines Converge,InStyleOf,Andrew Montgomery,Immovable Love,1
Timelines Converge,InStyleOf,Kelly Stewart,Immovable Love,1
Timelines Converge,InStyleOf,Erica Walton,Immovable Love,1
Timelines Converge,InStyleOf,Matthew Yoder,Immovable Love,1
Timelines Converge,InStyleOf,Sonic Renegade,Immovable Love,1
Timelines Converge,InStyleOf,Liquid Prism,Immovable Love,1
Scarves and Streetlight Shadows,CoverOf,Kimberly Snyder,Immovable Love,1
Scarves and Streetlight Shadows,CoverOf,Gerald Mullins,Immovable Love,1
Scarves and Streetlight Shadows,CoverOf,Andrew Montgomery,Immovable Love,1
Scarves and Streetlight Shadows,CoverOf,Kelly Stewart,Immovable Love,1
Scarves and Streetlight Shadows,CoverOf,Erica Walton,Immovable Love,1
Scarves and Streetlight Shadows,CoverOf,Matthew Yoder,Immovable Love,1
Scarves and Streetlight Shadows,CoverOf,Sonic Renegade,Immovable Love,1
Scarves and Streetlight Shadows,CoverOf,Liquid Prism,Immovable Love,1
Ethereal Afterthoughts,InterpolatesFrom,Kimberly Snyder,Immovable Love,1
Ethereal Afterthoughts,InterpolatesFrom,Gerald Mullins,Immovable Love,1
Ethereal Afterthoughts,InterpolatesFrom,Andrew Montgomery,Immovable Love,1
Ethereal Afterthoughts,InterpolatesFrom,Kelly Stewart,Immovable Love,1
Ethereal Afterthoughts,InterpolatesFrom,Erica Walton,Immovable Love,1
Ethereal Afterthoughts,InterpolatesFrom,Matthew Yoder,Immovable Love,1
Ethereal Afterthoughts,InterpolatesFrom,Sonic Renegade,Immovable Love,1
Ethereal Afterthoughts,InterpolatesFrom,Liquid Prism,Immovable Love,1
Timelines Converge,CoverOf,Kimberly Snyder,Ethereal Afterthoughts,1
Timelines Converge,CoverOf,Joshua Herring,Ethereal Afterthoughts,1
Timelines Converge,CoverOf,Gerald Mullins,Ethereal Afterthoughts,1
Timelines Converge,CoverOf,Erica Walton,Ethereal Afterthoughts,1
Timelines Converge,CoverOf,Matthew Yoder,Ethereal Afterthoughts,1
Timelines Converge,CoverOf,Nichole Martinez,Ethereal Afterthoughts,1
Timelines Converge,CoverOf,Sonic Renegade,Ethereal Afterthoughts,1
Fair Exchange,InterpolatesFrom,Catalina Borja Barbero,Symphonic Ecosystem,1
Fair Exchange,InterpolatesFrom,Graciana Sacristán Saura,Symphonic Ecosystem,1
Fair Exchange,InterpolatesFrom,Rosenda Reyes Salazar,Symphonic Ecosystem,1
Beethoven's Unheard Conversation,LyricalReferenceTo,Catalina Borja Barbero,Symphonic Ecosystem,1
Beethoven's Unheard Conversation,LyricalReferenceTo,Graciana Sacristán Saura,Symphonic Ecosystem,1
Beethoven's Unheard Conversation,LyricalReferenceTo,Rosenda Reyes Salazar,Symphonic Ecosystem,1
Soft Love's First Light,InterpolatesFrom,Catalina Borja Barbero,Symphonic Ecosystem,1
Soft Love's First Light,InterpolatesFrom,Graciana Sacristán Saura,Symphonic Ecosystem,1
Soft Love's First Light,InterpolatesFrom,Rosenda Reyes Salazar,Symphonic Ecosystem,1
Timelines Converge,LyricalReferenceTo,Kimberly Snyder,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,Gerald Mullins,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,Thomas Weber,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,Rachel Jackson,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,John Anderson,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,Colleen Velazquez,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,Jeffrey Munoz PhD,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,Amber Bates,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,Thomas Salinas,Carols of the Silent Night,1
