Kimberlys_Original_Work,Influence_Type,New_Artist,New_Song,Weight
Maria's Obeskrivna Minnen (Maria's Unwritten Memories),InStyleOf,Lei Bai,"Empty Ballrooms, Weary Hearts",1
Maria's Obeskrivna Minnen (Maria's Unwritten Memories),InStyleOf,Brittany Holmes,"Empty Ballrooms, Weary Hearts",1
Maria's Obeskrivna Minnen (Maria's Unwritten Memories),InStyleOf,Yan Fu,"Empty Ballrooms, Weary Hearts",1
Maria's Obeskrivna Minnen (Maria's Unwritten Memories),InStyleOf,Xia Liang,"Empty Ballrooms, Weary Hearts",1
Soft Love's First Light,InterpolatesFrom,Joshua Herring,Partner or Pretender,1
Soft Love's First Light,InterpolatesFrom,Gerald Mullins,Partner or Pretender,1
Soft Love's First Light,InterpolatesFrom,Cory Wall,Partner or Pretender,1
Soft Love's First Light,InterpolatesFrom,Hinrich Weimer,Partner or Pretender,1
Ethereal Afterthoughts,DirectlySamples,Joshua Herring,Partner or Pretender,1
Ethereal Afterthoughts,DirectlySamples,Gerald Mullins,Partner or Pretender,1
Ethereal Afterthoughts,DirectlySamples,Cory Wall,Partner or Pretender,1
Ethereal Afterthoughts,DirectlySamples,Hinrich Weimer,Partner or Pretender,1
Fragments of a Simple Girl,InterpolatesFrom,Joshua Herring,Partner or Pretender,1
Fragments of a Simple Girl,InterpolatesFrom,Gerald Mullins,Partner or Pretender,1
Fragments of a Simple Girl,InterpolatesFrom,Cory Wall,Partner or Pretender,1
Fragments of a Simple Girl,InterpolatesFrom,Hinrich Weimer,Partner or Pretender,1
Carols of the Silent Night,InStyleOf,Joshua Herring,Partner or Pretender,1
Carols of the Silent Night,InStyleOf,Gerald Mullins,Partner or Pretender,1
Carols of the Silent Night,InStyleOf,Cory Wall,Partner or Pretender,1
Carols of the Silent Night,InStyleOf,Hinrich Weimer,Partner or Pretender,1
Timelines Converge,LyricalReferenceTo,Joshua Herring,Partner or Pretender,1
Timelines Converge,LyricalReferenceTo,Gerald Mullins,Partner or Pretender,1
Timelines Converge,LyricalReferenceTo,Cory Wall,Partner or Pretender,1
Timelines Converge,LyricalReferenceTo,Hinrich Weimer,Partner or Pretender,1
Fair Exchange,CoverOf,Joshua Herring,Partner or Pretender,1
Fair Exchange,CoverOf,Gerald Mullins,Partner or Pretender,1
Fair Exchange,CoverOf,Cory Wall,Partner or Pretender,1
Fair Exchange,CoverOf,Hinrich Weimer,Partner or Pretender,1
"Silent Hooves, Whispering Forest",CoverOf,Joshua Herring,Partner or Pretender,1
"Silent Hooves, Whispering Forest",CoverOf,Gerald Mullins,Partner or Pretender,1
"Silent Hooves, Whispering Forest",CoverOf,Cory Wall,Partner or Pretender,1
"Silent Hooves, Whispering Forest",CoverOf,Hinrich Weimer,Partner or Pretender,1
Maria's Obeskrivna Minnen (Maria's Unwritten Memories),InStyleOf,Kimberly Snyder,Playful Improvisation,1
Maria's Obeskrivna Minnen (Maria's Unwritten Memories),InStyleOf,Gerald Mullins,Playful Improvisation,1
Maria's Obeskrivna Minnen (Maria's Unwritten Memories),InStyleOf,Kelly Stewart,Playful Improvisation,1
Maria's Obeskrivna Minnen (Maria's Unwritten Memories),InStyleOf,John Anderson,Playful Improvisation,1
Maria's Obeskrivna Minnen (Maria's Unwritten Memories),InStyleOf,Norma Huff,Playful Improvisation,1
Maria's Obeskrivna Minnen (Maria's Unwritten Memories),InStyleOf,Sonic Renegade,Playful Improvisation,1
Carols of the Silent Night,LyricalReferenceTo,Nicole Valenzuela,Verdant Silence Descends,1
Carols of the Silent Night,InStyleOf,Kimberly Snyder,Fair Exchange,1
Carols of the Silent Night,InStyleOf,Joshua Herring,Fair Exchange,1
Carols of the Silent Night,InStyleOf,Gerald Mullins,Fair Exchange,1
Carols of the Silent Night,InStyleOf,Tina Hobbs,Fair Exchange,1
Timelines Converge,CoverOf,Kimberly Snyder,Fair Exchange,1
Timelines Converge,CoverOf,Joshua Herring,Fair Exchange,1
Timelines Converge,CoverOf,Gerald Mullins,Fair Exchange,1
Timelines Converge,CoverOf,Tina Hobbs,Fair Exchange,1
Ethereal Afterthoughts,CoverOf,Kimberly Snyder,Fair Exchange,1
Ethereal Afterthoughts,CoverOf,Joshua Herring,Fair Exchange,1
Ethereal Afterthoughts,CoverOf,Gerald Mullins,Fair Exchange,1
Ethereal Afterthoughts,CoverOf,Tina Hobbs,Fair Exchange,1
Tanah Kita Bangkit,LyricalReferenceTo,Kimberly Snyder,Fair Exchange,1
Tanah Kita Bangkit,LyricalReferenceTo,Joshua Herring,Fair Exchange,1
Tanah Kita Bangkit,LyricalReferenceTo,Gerald Mullins,Fair Exchange,1
Tanah Kita Bangkit,LyricalReferenceTo,Tina Hobbs,Fair Exchange,1
Fair Exchange,InStyleOf,Paula Wilson,Umbrella Shuffle,1
Fair Exchange,InStyleOf,Steven Branch,Umbrella Shuffle,1
Fair Exchange,InStyleOf,Jennifer Mccoy,Umbrella Shuffle,1
Fair Exchange,InStyleOf,Christopher Wilson,Umbrella Shuffle,1
Fair Exchange,InStyleOf,Nicholas Lawrence,Umbrella Shuffle,1
Fair Exchange,InStyleOf,Phantom Resonance,Umbrella Shuffle,1
Tanah Kita Bangkit,LyricalReferenceTo,Joshua Herring,Warsaw Veins,1
Tanah Kita Bangkit,LyricalReferenceTo,Gerald Mullins,Warsaw Veins,1
Tanah Kita Bangkit,LyricalReferenceTo,Colleen Frank PhD,Warsaw Veins,1
Tanah Kita Bangkit,LyricalReferenceTo,Dennis Mcdowell,Warsaw Veins,1
Sovereign's Whisper,LyricalReferenceTo,Joshua Herring,Warsaw Veins,1
Sovereign's Whisper,LyricalReferenceTo,Gerald Mullins,Warsaw Veins,1
Sovereign's Whisper,LyricalReferenceTo,Colleen Frank PhD,Warsaw Veins,1
Sovereign's Whisper,LyricalReferenceTo,Dennis Mcdowell,Warsaw Veins,1
Fair Exchange,InterpolatesFrom,Joshua Herring,Warsaw Veins,1
Fair Exchange,InterpolatesFrom,Gerald Mullins,Warsaw Veins,1
Fair Exchange,InterpolatesFrom,Colleen Frank PhD,Warsaw Veins,1
Fair Exchange,InterpolatesFrom,Dennis Mcdowell,Warsaw Veins,1
Carols of the Silent Night,CoverOf,Joshua Herring,Warsaw Veins,1
Carols of the Silent Night,CoverOf,Gerald Mullins,Warsaw Veins,1
Carols of the Silent Night,CoverOf,Colleen Frank PhD,Warsaw Veins,1
Carols of the Silent Night,CoverOf,Dennis Mcdowell,Warsaw Veins,1
Shadows Between Us,InterpolatesFrom,Joshua Herring,Warsaw Veins,1
Shadows Between Us,InterpolatesFrom,Gerald Mullins,Warsaw Veins,1
Shadows Between Us,InterpolatesFrom,Colleen Frank PhD,Warsaw Veins,1
Shadows Between Us,InterpolatesFrom,Dennis Mcdowell,Warsaw Veins,1
Scarves and Streetlight Shadows,CoverOf,Joshua Herring,Warsaw Veins,1
Scarves and Streetlight Shadows,CoverOf,Gerald Mullins,Warsaw Veins,1
Scarves and Streetlight Shadows,CoverOf,Colleen Frank PhD,Warsaw Veins,1
Scarves and Streetlight Shadows,CoverOf,Dennis Mcdowell,Warsaw Veins,1
Timelines Converge,CoverOf,Joshua Herring,Warsaw Veins,1
Timelines Converge,CoverOf,Gerald Mullins,Warsaw Veins,1
Timelines Converge,CoverOf,Colleen Frank PhD,Warsaw Veins,1
Timelines Converge,CoverOf,Dennis Mcdowell,Warsaw Veins,1
Ethereal Afterthoughts,CoverOf,Joshua Herring,Warsaw Veins,1
Ethereal Afterthoughts,CoverOf,Gerald Mullins,Warsaw Veins,1
Ethereal Afterthoughts,CoverOf,Colleen Frank PhD,Warsaw Veins,1
Ethereal Afterthoughts,CoverOf,Dennis Mcdowell,Warsaw Veins,1
Carols of the Silent Night,CoverOf,Janine Berger,Loose Change Lullaby,1
Carols of the Silent Night,CoverOf,Agata Bähr-Metz,Loose Change Lullaby,1
Carols of the Silent Night,CoverOf,Gudrun Atzler,Loose Change Lullaby,1
Scarves and Streetlight Shadows,InStyleOf,Kimberly Snyder,Fragments of a Simple Girl,1
Scarves and Streetlight Shadows,InStyleOf,Kelly Stewart,Fragments of a Simple Girl,1
Scarves and Streetlight Shadows,InStyleOf,John Anderson,Fragments of a Simple Girl,1
Scarves and Streetlight Shadows,InStyleOf,Jeffrey Munoz PhD,Fragments of a Simple Girl,1
Scarves and Streetlight Shadows,InStyleOf,Thomas Salinas,Fragments of a Simple Girl,1
Scarves and Streetlight Shadows,InStyleOf,Robert Garcia,Fragments of a Simple Girl,1
Scarves and Streetlight Shadows,InStyleOf,Jillian Salazar,Fragments of a Simple Girl,1
Scarves and Streetlight Shadows,InStyleOf,Hinrich Weimer,Fragments of a Simple Girl,1
Scarves and Streetlight Shadows,InStyleOf,Luminous Fracture,Fragments of a Simple Girl,1
Timelines Converge,DirectlySamples,Kimberly Snyder,Fragments of a Simple Girl,1
Timelines Converge,DirectlySamples,Kelly Stewart,Fragments of a Simple Girl,1
Timelines Converge,DirectlySamples,John Anderson,Fragments of a Simple Girl,1
Timelines Converge,DirectlySamples,Jeffrey Munoz PhD,Fragments of a Simple Girl,1
Timelines Converge,DirectlySamples,Thomas Salinas,Fragments of a Simple Girl,1
Timelines Converge,DirectlySamples,Robert Garcia,Fragments of a Simple Girl,1
Timelines Converge,DirectlySamples,Jillian Salazar,Fragments of a Simple Girl,1
Timelines Converge,DirectlySamples,Hinrich Weimer,Fragments of a Simple Girl,1
Timelines Converge,DirectlySamples,Luminous Fracture,Fragments of a Simple Girl,1
"Silent Hooves, Whispering Forest",InStyleOf,Kimberly Snyder,Whisper My Identity,1
"Silent Hooves, Whispering Forest",InStyleOf,Gerald Mullins,Whisper My Identity,1
"Silent Hooves, Whispering Forest",InStyleOf,John Anderson,Whisper My Identity,1
"Silent Hooves, Whispering Forest",InStyleOf,Roy Tschentscher,Whisper My Identity,1
"Silent Hooves, Whispering Forest",InStyleOf,Angelina Sölzer,Whisper My Identity,1
"Silent Hooves, Whispering Forest",InStyleOf,Gregory Reeves,Whisper My Identity,1
"Silent Hooves, Whispering Forest",InStyleOf,Emily Perkins,Whisper My Identity,1
"Silent Hooves, Whispering Forest",InStyleOf,Kimberly Lee,Whisper My Identity,1
"Silent Hooves, Whispering Forest",InStyleOf,Kristina Serrano,Whisper My Identity,1
"Silent Hooves, Whispering Forest",InStyleOf,Melissa Johnson,Whisper My Identity,1
"Silent Hooves, Whispering Forest",InStyleOf,Joseph Rodriguez,Whisper My Identity,1
"Silent Hooves, Whispering Forest",InStyleOf,John Johnston,Whisper My Identity,1
"Silent Hooves, Whispering Forest",InStyleOf,Sonic Renegade,Whisper My Identity,1
Fair Exchange,InterpolatesFrom,Kimberly Snyder,Whisper My Identity,1
Fair Exchange,InterpolatesFrom,Gerald Mullins,Whisper My Identity,1
Fair Exchange,InterpolatesFrom,John Anderson,Whisper My Identity,1
Fair Exchange,InterpolatesFrom,Roy Tschentscher,Whisper My Identity,1
Fair Exchange,InterpolatesFrom,Angelina Sölzer,Whisper My Identity,1
Fair Exchange,InterpolatesFrom,Gregory Reeves,Whisper My Identity,1
Fair Exchange,InterpolatesFrom,Emily Perkins,Whisper My Identity,1
Fair Exchange,InterpolatesFrom,Kimberly Lee,Whisper My Identity,1
Fair Exchange,InterpolatesFrom,Kristina Serrano,Whisper My Identity,1
Fair Exchange,InterpolatesFrom,Melissa Johnson,Whisper My Identity,1
Fair Exchange,InterpolatesFrom,Joseph Rodriguez,Whisper My Identity,1
Fair Exchange,InterpolatesFrom,John Johnston,Whisper My Identity,1
Fair Exchange,InterpolatesFrom,Sonic Renegade,Whisper My Identity,1
Tanah Kita Bangkit,InterpolatesFrom,Kimberly Snyder,Whisper My Identity,1
Tanah Kita Bangkit,InterpolatesFrom,Gerald Mullins,Whisper My Identity,1
Tanah Kita Bangkit,InterpolatesFrom,John Anderson,Whisper My Identity,1
Tanah Kita Bangkit,InterpolatesFrom,Roy Tschentscher,Whisper My Identity,1
Tanah Kita Bangkit,InterpolatesFrom,Angelina Sölzer,Whisper My Identity,1
Tanah Kita Bangkit,InterpolatesFrom,Gregory Reeves,Whisper My Identity,1
Tanah Kita Bangkit,InterpolatesFrom,Emily Perkins,Whisper My Identity,1
Tanah Kita Bangkit,InterpolatesFrom,Kimberly Lee,Whisper My Identity,1
Tanah Kita Bangkit,InterpolatesFrom,Kristina Serrano,Whisper My Identity,1
Tanah Kita Bangkit,InterpolatesFrom,Melissa Johnson,Whisper My Identity,1
Tanah Kita Bangkit,InterpolatesFrom,Joseph Rodriguez,Whisper My Identity,1
Tanah Kita Bangkit,InterpolatesFrom,John Johnston,Whisper My Identity,1
Tanah Kita Bangkit,InterpolatesFrom,Sonic Renegade,Whisper My Identity,1
Carols of the Silent Night,InStyleOf,Kimberly Snyder,Whisper My Identity,1
Carols of the Silent Night,InStyleOf,Gerald Mullins,Whisper My Identity,1
Carols of the Silent Night,InStyleOf,John Anderson,Whisper My Identity,1
Carols of the Silent Night,InStyleOf,Roy Tschentscher,Whisper My Identity,1
Carols of the Silent Night,InStyleOf,Angelina Sölzer,Whisper My Identity,1
Carols of the Silent Night,InStyleOf,Gregory Reeves,Whisper My Identity,1
Carols of the Silent Night,InStyleOf,Emily Perkins,Whisper My Identity,1
Carols of the Silent Night,InStyleOf,Kimberly Lee,Whisper My Identity,1
Carols of the Silent Night,InStyleOf,Kristina Serrano,Whisper My Identity,1
Carols of the Silent Night,InStyleOf,Melissa Johnson,Whisper My Identity,1
Carols of the Silent Night,InStyleOf,Joseph Rodriguez,Whisper My Identity,1
Carols of the Silent Night,InStyleOf,John Johnston,Whisper My Identity,1
Carols of the Silent Night,InStyleOf,Sonic Renegade,Whisper My Identity,1
Soft Love's First Light,InStyleOf,Kimberly Snyder,Whisper My Identity,1
Soft Love's First Light,InStyleOf,Gerald Mullins,Whisper My Identity,1
Soft Love's First Light,InStyleOf,John Anderson,Whisper My Identity,1
Soft Love's First Light,InStyleOf,Roy Tschentscher,Whisper My Identity,1
Soft Love's First Light,InStyleOf,Angelina Sölzer,Whisper My Identity,1
Soft Love's First Light,InStyleOf,Gregory Reeves,Whisper My Identity,1
Soft Love's First Light,InStyleOf,Emily Perkins,Whisper My Identity,1
Soft Love's First Light,InStyleOf,Kimberly Lee,Whisper My Identity,1
Soft Love's First Light,InStyleOf,Kristina Serrano,Whisper My Identity,1
Soft Love's First Light,InStyleOf,Melissa Johnson,Whisper My Identity,1
Soft Love's First Light,InStyleOf,Joseph Rodriguez,Whisper My Identity,1
Soft Love's First Light,InStyleOf,John Johnston,Whisper My Identity,1
Soft Love's First Light,InStyleOf,Sonic Renegade,Whisper My Identity,1
Timelines Converge,InterpolatesFrom,Kimberly Snyder,Whisper My Identity,1
Timelines Converge,InterpolatesFrom,Gerald Mullins,Whisper My Identity,1
Timelines Converge,InterpolatesFrom,John Anderson,Whisper My Identity,1
Timelines Converge,InterpolatesFrom,Roy Tschentscher,Whisper My Identity,1
Timelines Converge,InterpolatesFrom,Angelina Sölzer,Whisper My Identity,1
Timelines Converge,InterpolatesFrom,Gregory Reeves,Whisper My Identity,1
Timelines Converge,InterpolatesFrom,Emily Perkins,Whisper My Identity,1
Timelines Converge,InterpolatesFrom,Kimberly Lee,Whisper My Identity,1
Timelines Converge,InterpolatesFrom,Kristina Serrano,Whisper My Identity,1
Timelines Converge,InterpolatesFrom,Melissa Johnson,Whisper My Identity,1
Timelines Converge,InterpolatesFrom,Joseph Rodriguez,Whisper My Identity,1
Timelines Converge,InterpolatesFrom,John Johnston,Whisper My Identity,1
Timelines Converge,InterpolatesFrom,Sonic Renegade,Whisper My Identity,1
"Silent Hooves, Whispering Forest",InStyleOf,Xavier Leclerc,Melodic Exposition,1
"Silent Hooves, Whispering Forest",InStyleOf,Rodney Hayes,Melodic Exposition,1
"Silent Hooves, Whispering Forest",InStyleOf,Janet Aguilar,Melodic Exposition,1
Tanah Kita Bangkit,InterpolatesFrom,Imelda Zaguri,Beyond Moderation,1
Tanah Kita Bangkit,InterpolatesFrom,Nanni Telesio,Beyond Moderation,1
Tanah Kita Bangkit,InterpolatesFrom,Annetta Passalacqua,Beyond Moderation,1
Soft Love's First Light,DirectlySamples,Rachel Jackson,Peaks of Passion,1
Soft Love's First Light,DirectlySamples,Denise White,Peaks of Passion,1
Soft Love's First Light,DirectlySamples,Roy Tschentscher,Peaks of Passion,1
Soft Love's First Light,DirectlySamples,Karl-August Beyer,Peaks of Passion,1
Soft Love's First Light,DirectlySamples,Kristina Romero,Peaks of Passion,1
Soft Love's First Light,DirectlySamples,Amanda Tucker,Peaks of Passion,1
Soft Love's First Light,DirectlySamples,Aleksandar Kohl,Peaks of Passion,1
Soft Love's First Light,DirectlySamples,Liquid Vortex,Peaks of Passion,1
Soft Love's First Light,DirectlySamples,Twilight Riders,Peaks of Passion,1
"Silent Hooves, Whispering Forest",InterpolatesFrom,Rachel Jackson,Peaks of Passion,1
"Silent Hooves, Whispering Forest",InterpolatesFrom,Denise White,Peaks of Passion,1
"Silent Hooves, Whispering Forest",InterpolatesFrom,Roy Tschentscher,Peaks of Passion,1
"Silent Hooves, Whispering Forest",InterpolatesFrom,Karl-August Beyer,Peaks of Passion,1
"Silent Hooves, Whispering Forest",InterpolatesFrom,Kristina Romero,Peaks of Passion,1
"Silent Hooves, Whispering Forest",InterpolatesFrom,Amanda Tucker,Peaks of Passion,1
"Silent Hooves, Whispering Forest",InterpolatesFrom,Aleksandar Kohl,Peaks of Passion,1
"Silent Hooves, Whispering Forest",InterpolatesFrom,Liquid Vortex,Peaks of Passion,1
"Silent Hooves, Whispering Forest",InterpolatesFrom,Twilight Riders,Peaks of Passion,1
Ethereal Afterthoughts,DirectlySamples,Kimberly Snyder,Counterpoint in Twilight,1
Ethereal Afterthoughts,DirectlySamples,Dennis Mcdowell,Counterpoint in Twilight,1
Ethereal Afterthoughts,DirectlySamples,Brandi Sutton,Counterpoint in Twilight,1
Stones of the Holy City,InStyleOf,Kimberly Snyder,Counterpoint in Twilight,1
Stones of the Holy City,InStyleOf,Dennis Mcdowell,Counterpoint in Twilight,1
Stones of the Holy City,InStyleOf,Brandi Sutton,Counterpoint in Twilight,1
"Silent Hooves, Whispering Forest",CoverOf,Violet Engines,Highway Lights,1
Radiant Silhouette,CoverOf,Crimson Carriage,The Road Calls Again,1
Radiant Silhouette,LyricalReferenceTo,The Hollow Monarchs,Farewell to the Fading Sun,1
Scarves and Streetlight Shadows,CoverOf,Claire Holmes,"The City Never Sleeps, But We Do",1
